,Predicted Adview
176,46.35
177,20.85
178,90.63
179,1229.51
180,4838.88
181,61.8
182,1041.46
183,3.27
184,2.45
185,10.13
186,1198.25
187,5951.12
188,34087.1
189,449.57
190,2347.29
191,3.14
192,870.89
193,327.61
194,101.08
195,10.12
196,2477.56
197,180.82
198,26.56
199,12.35
200,17.85
201,10.44
202,15.98
203,76.45
204,29.52
205,8.46
206,18.7
207,2.75
208,750.16
209,4.14
210,10.54
211,4865.79
212,31797.13
213,2630.9
214,1.34
215,8.02
216,2.94
217,10.26
218,1576.37
219,3.47
220,2.55
221,358.39
222,850.07
223,393.38
224,135.13
225,218.54
226,3.48
227,178.51
228,1.87
229,2.26
230,315.82
231,3.05
232,5.46
233,953.6
234,74.19
235,181.87
236,8485.91
237,1312.5
238,138.46
239,4019.6
240,3.5
241,1.88
242,2413.95
243,43.97
244,3.74
245,361.62
246,2020.41
247,10.11
248,1235.39
249,1189.45
250,1.4
251,19.08
252,6.66
253,1886.65
254,102.97
255,2446.41
256,9.82
257,6858.82
258,4.64
259,9.97
260,741.7
261,4.39
262,3.7
263,1892.94
264,6599.34
265,2.85
266,196.17
267,834.28
268,198.42
269,74.41
270,869.63
271,1.57
272,6062.78
273,231.71
274,3.05
275,975.42
276,1.45
277,4.21
278,3.37
279,307.44
280,1134.97
281,266.96
282,83.95
283,638.09
284,930.89
285,93.63
286,2.49
287,329.51
288,106.32
289,937.59
290,2667.74
291,39.67
292,4.26
293,365.93
294,4.67
295,5.24
296,1461.79
297,362.66
298,4.95
299,182.23
300,8.86
301,1.73
302,174.94
303,2.85
304,374.1
305,1436.23
306,1382.08
307,2835.55
308,1.86
309,1566.62
310,151.78
311,880.94
312,25.37
313,8.62
314,138.0
315,105.98
316,83.76
317,2.66
318,31.09
319,11.09
320,6501.24
321,3.31
322,7.02
323,5.14
324,724.97
325,47547.5
326,112.43
327,8.73
328,9.69
329,7.34
330,4.51
331,93.49
332,1.8
333,90.52
334,230.33
335,42.88
336,398.03
337,7.75
338,380.96
339,1.28
340,6.47
341,6.27
342,4.57
343,8.8
344,3.38
345,298.94
346,14.41
347,70.2
348,1688.15
349,190.11
350,264.87
351,3705.77
352,2325.03
353,739.61
354,1412.15
355,141.03
356,30.33
357,12.32
358,5.47
359,343.23
360,1563.45
361,2504.98
362,513.94
363,6298.24
364,1070.0
365,4.63
366,1497.73
367,66.19
368,10.62
369,178.88
370,307.72
371,1266.18
372,5.29
373,11.73
374,4960.06
375,18.05
376,752.36
377,1.64
378,1427.63
379,746.26
380,8666.39
381,62.81
382,233.43
383,8.34
384,12.29
385,31905.55
386,14.8
387,4.58
388,175.18
389,2748.28
390,35.56
391,3.1
392,105.26
393,660.31
394,324.78
395,196.66
396,30.53
397,106.73
398,14.03
399,681.31
400,171.15
401,9.49
402,6879.2
403,6.92
404,149.0
405,62.67
406,260.63
407,2206.63
408,89.23
409,16.79
410,1.75
411,4.33
412,5.08
413,6869.91
414,92.78
415,757.77
416,15.85
417,35.35
418,173.91
419,2616.4
420,74897.15
421,4.99
422,1.32
423,112.37
424,2.0
425,1005.7
426,1137.79
427,72.16
428,97.62
429,2.88
430,8.67
431,3.98
432,8.92
433,127.09
434,484.88
435,5.06
436,2653.39
437,461.82
438,321.15
439,182.61
440,4846.99
441,6823.33
442,3.1
443,2.61
444,8.82
445,35.39
446,44.19
447,6.12
448,60.73
449,22.58
450,1234.7
451,2827.0
452,1.74
453,4.31
454,6.74
455,52.44
456,4855.33
457,90.53
458,290.54
459,5.21
460,1.62
461,2.06
462,28.96
463,7.83
464,1039.44
465,339.56
466,579.86
467,32.97
468,9.25
469,6.22
470,138.05
471,12660.58
472,817.98
473,3.57
474,22.48
475,374.96
476,1146.49
477,5.76
478,1935.13
479,1402.18
480,2.74
481,97.79
482,939.5
483,147.99
484,96.25
485,8.13
486,27100.59
487,12.31
488,19.39
489,4336.37
490,2.71
491,42.47
492,2007.53
493,18900.76
494,600.94
495,20.17
496,29.67
497,2615.98
498,842.09
499,1095.34
500,5.82
501,72340.02
502,227.8
503,1.43
504,6.76
505,245.61
506,804.38
507,6.98
508,172906.98
509,2.79
510,62.06
511,6.07
512,3241.15
513,21.13
514,7.19
515,12.15
516,3.03
517,11.27
518,16.94
519,5.34
520,155.39
521,415.72
522,6.05
523,1.6
524,1185.08
525,3.16
526,2742.3
527,7.36
528,5.86
529,3599.26
530,2625.43
531,19.36
532,8.69
533,520.08
534,2262.0
535,2.04
536,37.32
537,48.23
538,44.75
539,870.77
540,2088.9
541,5.69
542,6.96
543,65.52
544,6590.25
545,10.67
546,4.96
547,1669.02
548,3389.63
549,23.71
550,4186.95
551,557.13
552,654.62
553,1.14
554,2.12
555,282.63
556,1448.88
557,1.75
558,1255.21
559,3200.5
560,1915.74
561,3.56
562,617.46
563,108.84
564,11092.13
565,48.69
566,1230.79
567,9.97
568,165.27
569,1920.67
570,2.25
571,83.14
572,8512.64
573,7424.26
574,7051.84
575,40.26
576,2.19
577,196.59
578,2111.48
579,1932.41
580,280.13
581,5.77
582,868.74
583,7815.07
584,110.0
585,4.79
586,3.85
587,365.62
588,8.34
589,1073.39
590,7.89
591,216.08
592,830.43
593,1.27
594,128.55
595,95.96
596,33.76
597,319.91
598,22.81
599,47.54
600,6094.85
601,2.02
602,9.02
603,750.57
604,8.47
605,93.01
606,19.78
607,90.74
608,393.77
609,3853.53
610,16.92
611,6066.45
612,539.56
613,743.67
614,160.92
615,2.86
616,18.96
617,3.47
618,1546.91
619,1906.85
620,708.36
621,11.09
622,2592.34
623,3.79
624,371.39
625,457.32
626,54.43
627,47.6
628,701.99
629,50.41
630,11.1
631,1298.9
632,10663.22
633,6.06
634,572.74
635,111.56
636,1.6
637,2.93
638,5286.64
639,1338.43
640,6.43
641,5.02
642,52.35
643,23.46
644,558.55
645,2.09
646,1309.51
647,11.32
648,184.29
649,1.35
650,6.11
651,467.93
652,19.86
653,4.37
654,673.6
655,2400.21
656,5.28
657,9.48
658,1.57
659,1572.28
660,284.36
661,116.98
662,10.51
663,2.11
664,1.47
665,3.36
666,9.32
667,30.32
668,1005.96
669,3.44
670,3.58
671,2.71
672,1.25
673,21.43
674,10.81
675,4994.64
676,13.24
677,20.36
678,3.67
679,12.7
680,1.99
681,144.32
682,1.85
683,5596.67
684,20.96
685,136.31
686,46.76
687,1182.68
688,6.54
689,506.39
690,2252.4
691,1688.77
692,57.86
693,143.96
694,10.69
695,19.32
696,3.97
697,3.16
698,24.78
699,5.39
700,1707.74
701,25.23
702,3938.22
703,10.47
704,776.22
705,1.92
706,965.57
707,754.2
708,27.26
709,462.06
710,526.33
711,164.81
712,1760.99
713,14.83
714,2496.2
715,3793.95
716,68.98
717,6466.91
718,19.07
719,12.84
720,31.17
721,1.48
722,3623.31
723,10.27
724,654.69
725,2.56
726,108.68
727,1357.01
728,385.73
729,14.48
730,92.35
731,97.24
732,133.89
733,9.12
734,451.08
735,1.28
736,6.02
737,2494.1
738,1772.52
739,33.76
740,121.23
741,8.36
742,3.72
743,630.02
744,100.18
745,4.55
746,11.48
747,6.38
748,4.43
749,123.12
750,14.79
751,2288.65
752,1.79
753,444.37
754,5.9
755,1028.27
756,7005.13
757,2.55
758,7661.1
759,8584.17
760,1.68
761,7.67
762,6513.62
763,2.37
764,2376.44
765,10.85
766,8.33
767,2769.74
768,2187.85
769,78.3
770,4.38
771,7.68
772,1286.67
773,5.39
774,16.58
775,83.04
776,34.57
777,8.74
778,11.65
779,54.19
780,22.28
781,2792.83
782,6.03
783,8.13
784,3.13
785,1125.33
786,440.52
787,3.42
788,6.63
789,252.37
790,179.11
791,2.12
792,7.57
793,65.08
794,36.27
795,341.29
796,3.79
797,3.92
798,457.04
799,1.93
800,177.77
801,12.83
802,1.05
803,4586.17
804,37.52
805,51.02
806,396.66
807,8.28
808,9.42
809,74.36
810,13.17
811,3327.74
812,216.62
813,3.85
814,1151.94
815,11.66
816,52.4
817,1229.46
818,27804.8
819,1124.84
820,105.84
821,2.7
822,3.6
823,1104.08
824,3593.7
825,29.84
826,288.58
827,1734.3
828,18.64
829,6.27
830,111.67
831,1.93
832,339.87
833,21.05
834,16.16
835,87.76
836,5.46
837,3.23
838,11.26
839,1.74
840,278.85
841,6.55
842,146.13
843,712.84
844,1472.75
845,4311.93
846,377.13
847,491.18
848,2.74
849,26.18
850,6178.19
851,17.99
852,58.79
853,1.18
854,8833.71
855,29707.83
856,33.18
857,302.26
858,2.55
859,26.48
860,2210.5
861,137.59
862,224.28
863,172.73
864,43.67
865,4.34
866,7.45
867,5.27
868,4.56
869,2.29
870,12.31
871,98.34
872,11.3
873,7.42
874,74.45
875,1977.88
876,11.31
877,26.44
878,1781.58
879,3.92
880,8859.47
881,6.43
882,16.29
883,954.65
884,736.78
885,49.06
886,10.16
887,1056.89
888,12.23
889,368.76
890,4142.41
891,4812.66
892,1660.06
893,498.39
894,397.82
895,14.1
896,2906.98
897,8.15
898,5.88
899,2.91
900,77.19
901,422.71
902,1733.91
903,272.41
904,6.86
905,3691.47
906,2.99
907,2.09
908,34939.1
909,15.21
910,2.62
911,4.98
912,57.45
913,2.5
914,2.62
915,13.21
916,2.69
917,8.04
918,142.56
919,176.35
920,815.54
921,11.58
922,145.85
923,2555.8
924,250.49
925,11.4
926,2080.15
927,3802.64
928,2298.15
929,14.41
930,90.1
931,9.48
932,2.33
933,2634.61
934,1.37
935,10394.9
936,9.21
937,1406.05
938,5581.79
939,47.36
940,1.64
941,8.05
942,1383.79
943,361.65
944,1021.22
945,13.18
946,43.12
947,368.99
948,6.54
949,58.96
950,1546.1
951,556.91
952,6615.18
953,2.42
954,27.02
955,21.42
956,9188.54
957,1437.46
958,7073.27
959,3.07
960,2.43
961,5.68
962,1917.09
963,248.93
964,696.49
965,718.74
966,102.18
967,376.62
968,3.25
969,1713.55
970,4.68
971,58.68
972,210.57
973,55.11
974,17.76
975,80.58
976,4.01
977,271.54
978,3152.89
979,171.1
980,5.49
981,5872.94
982,1.76
983,255902.62
984,163.05
985,5.95
986,384.25
987,8.53
988,364.68
989,9.15
990,20318.45
991,637.28
992,981.09
993,7.21
994,280.15
995,23.49
996,60.77
997,3556.78
998,707.43
999,696.5
1000,13.12
1001,1113.96
1002,5027.87
1003,11.2
1004,48602.62
1005,8.66
1006,347.05
1007,1.89
1008,5.45
1009,5.72
1010,6.48
1011,24.98
1012,5.5
1013,984.29
1014,92.43
1015,532.31
1016,9.79
1017,84.72
1018,726.07
1019,1037.33
1020,4.32
1021,10.96
1022,75.64
1023,334.57
1024,20.19
1025,9.44
1026,3.32
1027,1.47
1028,28.3
1029,1991.3
1030,23.36
1031,1898.46
1032,53.63
1033,14748.26
1034,306.95
1035,135.82
1036,3593.65
1037,3.29
1038,2005.74
1039,82.45
1040,1.39
1041,10.02
1042,3.02
1043,1821.12
1044,4187.09
1045,516.94
1046,4979.59
1047,1159.22
1048,409.72
1049,6.7
1050,594.03
1051,2.89
1052,469.78
1053,27.9
1054,23.51
1055,5.56
1056,12.04
1057,45.8
1058,3.9
1059,85.44
1060,1.57
1061,2.54
1062,3924.37
1063,796.09
1064,1678.08
1065,3.4
1066,1916.53
1067,38.78
1068,4.49
1069,9.93
1070,3.49
1071,479.69
1072,11.21
1073,14.62
1074,869.79
1075,852.86
1076,776.07
1077,508.51
1078,14.45
1079,1898.53
1080,547.48
1081,4.56
1082,85.23
1083,282.93
1084,173.08
1085,3.9
1086,2981.73
1087,1.6
1088,22.57
1089,280.35
1090,3907.72
1091,59.51
1092,453.87
1093,9.25
1094,174.99
1095,1.95
1096,2300.79
1097,11.81
1098,1.37
1099,1663.88
1100,52.08
1101,36.71
1102,12.11
1103,1271.45
1104,19.97
1105,13.21
1106,2.67
1107,9465.97
1108,127796.3
1109,133.87
1110,6.24
1111,9.38
1112,183.65
1113,57.81
1114,9.24
1115,67.5
1116,18.53
1117,3.19
1118,18653.55
1119,31389.04
1120,3.97
1121,892.27
1122,10092.15
1123,15.39
1124,923.15
1125,3.18
1126,1.87
1127,3.95
1128,1.22
1129,380.35
1130,4.44
1131,2958.9
1132,1.7
1133,17.99
1134,3.56
1135,3621.6
1136,4.69
1137,106.3
1138,5.0
1139,656.51
1140,17.45
1141,669.02
1142,4.11
1143,1.87
1144,40.43
1145,2.59
1146,97.65
1147,7.66
1148,151.25
1149,11507.19
1150,4.36
1151,634.92
1152,11.45
1153,3.94
1154,6.79
1155,3.73
1156,999.83
1157,4.29
1158,19.3
1159,6.36
1160,469.62
1161,645.85
1162,3.56
1163,1.89
1164,1403.03
1165,4.85
1166,281.9
1167,4906.72
1168,2379.56
1169,971.72
1170,394.24
1171,35.28
1172,6.01
1173,558.27
1174,2209.68
1175,5.46
1176,11.07
1177,394.16
1178,1361.09
1179,5.08
1180,8956.59
1181,419.08
1182,1.66
1183,19.72
1184,18.54
1185,172.5
1186,1.34
1187,13.7
1188,1.59
1189,34065.92
1190,1769.95
1191,5.84
1192,7.87
1193,229.66
1194,129.37
1195,872.02
1196,254.2
1197,13.17
1198,78.86
1199,1094.86
1200,1314.55
1201,1.28
1202,2.19
1203,85.49
1204,6.75
1205,82.55
1206,896.12
1207,535.61
1208,4.31
1209,24.37
1210,424.53
1211,86.46
1212,3.14
1213,8.53
1214,9.81
1215,14900.31
1216,736.14
1217,172.29
1218,436.2
1219,2.7
1220,1758.41
1221,13.08
1222,24.05
1223,1558.17
1224,7.6
1225,17.55
1226,10.42
1227,6.99
1228,1.22
1229,561.35
1230,165.41
1231,160.94
1232,44.05
1233,615.06
1234,1.18
1235,2.0
1236,43.17
1237,130.89
1238,11565.98
1239,7.07
1240,7.32
1241,1415.79
1242,3.4
1243,1334.61
1244,1445.51
1245,1724.81
1246,20.9
1247,8.21
1248,5.85
1249,323.38
1250,16110.08
1251,25.93
1252,16.21
1253,4585.34
1254,3.37
1255,2.64
1256,9.56
1257,7.65
1258,1542.91
1259,12222.53
1260,10.02
1261,13.5
1262,5.46
1263,98.08
1264,4.04
1265,346.93
1266,46.17
1267,1046.75
1268,46.69
1269,298.12
1270,14.21
1271,48.45
1272,51.19
1273,15.87
1274,6.29
1275,222.46
1276,10.53
1277,32.08
1278,772.56
1279,5.27
1280,27821.3
1281,11.72
1282,3252.48
1283,43.7
1284,35.28
1285,12.3
1286,10.25
1287,7.63
1288,50.52
1289,7.7
1290,58797.9
1291,27.4
1292,17.1
1293,518.56
1294,1109.8
1295,6.34
1296,14.52
1297,323.72
1298,2.81
1299,1918.84
1300,8.2
1301,13.03
1302,377.52
1303,381.69
1304,17.36
1305,66.98
1306,6.0
1307,7.62
1308,9.99
1309,11.15
1310,3.66
1311,287.15
1312,4.85
1313,6.39
1314,34.92
1315,443.96
1316,2.36
1317,148.29
1318,346.24
1319,563.74
1320,1.4
1321,12.65
1322,761.59
1323,16.37
1324,26.91
1325,341.7
1326,170.56
1327,13.09
1328,7048.31
1329,4457.56
1330,63.36
1331,141.82
1332,3.01
1333,52.22
1334,3595.34
1335,2037.93
1336,521.53
1337,55.87
1338,1563.87
1339,361.13
1340,929.45
1341,160.71
1342,193.13
1343,1318.94
1344,24.49
1345,27.85
1346,5.58
1347,110.14
1348,2867.13
1349,16.38
1350,151.05
1351,17.76
1352,41863.48
1353,3115.44
1354,892.17
1355,216.59
1356,432.32
1357,4.97
1358,38.57
1359,5.38
1360,26.22
1361,21.28
1362,4.16
1363,6.47
1364,3.7
1365,13.56
1366,673.71
1367,337.72
1368,16.92
1369,7.41
1370,806.44
1371,34.51
1372,2.62
1373,293.57
1374,2716.15
1375,17.18
1376,2.13
1377,38.97
1378,6617.86
1379,90.44
1380,116.33
1381,20.22
1382,7.74
1383,1826.0
1384,2.49
1385,17.89
1386,745.55
1387,144.75
1388,4465.49
1389,1483.96
1390,208.79
1391,3.55
1392,10.85
1393,9.72
1394,1.89
1395,1904.31
1396,7.23
1397,1.89
1398,7.56
1399,335.62
1400,185.61
1401,10.45
1402,28.79
1403,1.84
1404,2.46
1405,114.42
1406,227.79
1407,9046.89
1408,14.0
1409,4767.07
1410,519.56
1411,1.61
1412,316.26
1413,9.72
1414,1.48
1415,3.18
1416,206.24
1417,3.94
1418,2065.23
1419,14.5
1420,61.6
1421,6.24
1422,277.96
1423,10804.36
1424,6.32
1425,7.47
1426,1.21
1427,2.05
1428,20149.76
1429,37913.44
1430,359.96
1431,4.08
1432,63.15
1433,2.82
1434,23.95
1435,470.88
1436,192.66
1437,98.11
1438,2.36
1439,59.58
1440,6.2
1441,390.2
1442,12.66
1443,364.27
1444,2.6
1445,239.53
1446,712.78
1447,12.25
1448,2.94
1449,1.92
1450,13.24
1451,114.09
1452,756.61
1453,2919.09
1454,1.61
1455,3.87
1456,3.87
1457,15.7
1458,5.18
1459,3825.58
1460,1.39
1461,18.91
1462,18.59
1463,38.62
1464,136.88
1465,5.86
1466,1480.07
1467,10.95
1468,18.9
1469,375.84
1470,254.92
1471,14.98
1472,3.57
1473,10.53
1474,334.19
1475,190.21
1476,5610.41
1477,1224403.74
1478,199.04
1479,2.58
1480,11.09
1481,269.9
1482,17.25
1483,5.94
1484,14.67
1485,7.56
1486,115.02
1487,76.19
1488,1.22
1489,3589.77
1490,12.54
1491,8.96
1492,3.91
1493,2732.36
1494,5.24
1495,912.46
1496,10.94
1497,49447.95
1498,4.65
1499,6.53
1500,57.78
1501,2.98
1502,301.81
1503,471.04
1504,1045.86
1505,81.56
1506,1036.4
1507,3333.96
1508,326.39
1509,16.28
1510,640.73
1511,16.14
1512,2191.91
1513,7.8
1514,43.62
1515,38.49
1516,3.05
1517,31.61
1518,1.64
1519,422.55
1520,18.22
1521,20.8
1522,81.37
1523,18.78
1524,17435.11
1525,17.36
1526,3607.06
1527,1486.42
1528,24.59
1529,12.55
1530,2.99
1531,262.23
1532,18.59
1533,4484.93
1534,693.74
1535,7.0
1536,349.13
1537,540.39
1538,2660.65
1539,439.4
1540,12.13
1541,17.97
1542,3.06
1543,2445.31
1544,701.38
1545,4598.56
1546,7.24
1547,408.82
1548,5608.7
1549,42.41
1550,8.54
1551,21.65
1552,6238.25
1553,8.04
1554,385.28
1555,7061.72
1556,1.94
1557,5.97
1558,83.89
1559,4172.23
1560,149.66
1561,18.31
1562,1.74
1563,6.6
1564,1.54
1565,1.95
1566,72.77
1567,74.96
1568,6.77
1569,12.67
1570,10981.15
1571,2.11
1572,2.92
1573,6.01
1574,6.24
1575,2.35
1576,16.67
1577,67.88
1578,133407.84
1579,150.49
1580,363.95
1581,47.88
1582,961.72
1583,12.93
1584,3137.99
1585,2.32
1586,83.09
1587,14.48
1588,698.69
1589,13.5
1590,249.71
1591,762.58
1592,71.11
1593,6.01
1594,12155.23
1595,5964.31
1596,12.82
1597,8.3
1598,9838.8
1599,1654.13
1600,3.23
1601,3.83
1602,15.06
1603,1.95
1604,44.44
1605,22.11
1606,1091.58
1607,2.86
1608,266.07
1609,2124.34
1610,1769.47
1611,17.62
1612,951.87
1613,3.62
1614,4.36
1615,61.02
1616,1.58
1617,10.71
1618,19.17
1619,1934.39
1620,9.59
1621,37.44
1622,12.47
1623,1.2
1624,1359.78
1625,11.59
1626,1.94
1627,8.15
1628,535.0
1629,6.35
1630,2521.02
1631,9.88
1632,2.36
1633,46.35
1634,1115.59
1635,1734.14
1636,2161.41
1637,144.68
1638,20.46
1639,25.44
1640,329.11
1641,407.53
1642,773.16
1643,190.05
1644,24.67
1645,5.51
1646,387.72
1647,2838.94
1648,8.83
1649,5.12
1650,1.05
1651,2.0
1652,4.65
1653,5.3
1654,10.18
1655,29.08
1656,377.55
1657,3.82
1658,14.21
1659,53.85
1660,8.94
1661,21.84
1662,2.07
1663,12346.47
1664,230.44
1665,209.12
1666,104.14
1667,7.95
1668,1.84
1669,1248.89
1670,587.67
1671,18.84
1672,3890.24
1673,56910.51
1674,90.99
1675,2.2
1676,7.43
1677,6027.39
1678,1.41
1679,26.93
1680,6314.01
1681,115.3
1682,156.31
1683,10.38
1684,6.95
1685,3038.68
1686,87.56
1687,8.85
1688,2228.81
1689,2.03
1690,87.54
1691,1155.15
1692,4.88
1693,290.82
1694,8.25
1695,3890.49
1696,1.68
1697,5.16
1698,4.22
1699,6.24
1700,2.94
1701,338.33
1702,5.82
1703,11.16
1704,7.29
1705,26.44
1706,14932.14
1707,10.25
1708,33.45
1709,104252.89
1710,859.61
1711,83.38
1712,512.21
1713,34.72
1714,7.72
1715,104.79
1716,3.04
1717,1.28
1718,90.3
1719,75593.34
1720,14.56
1721,1.76
1722,4.65
1723,33.7
1724,731.4
1725,257.71
1726,21.46
1727,3092.77
1728,1386.2
1729,16.55
1730,325.46
1731,65.4
1732,1034.28
1733,2.79
1734,273.7
1735,5.63
1736,102.94
1737,439.26
1738,45614.15
1739,10.69
1740,385.77
1741,3.14
1742,1.57
1743,493.35
1744,23.51
1745,1.59
1746,2.25
1747,2.05
1748,4.72
1749,3.96
1750,14.11
1751,810.04
1752,1.83
1753,6.07
1754,5879.66
1755,8.39
1756,3019.92
1757,19.64
1758,837.1
1759,2.22
1760,38.77
1761,66.87
1762,319.27
1763,4.34
1764,8941.85
1765,35.57
1766,333.44
1767,2527.95
1768,693.47
1769,2.14
1770,764.78
1771,23.88
1772,50.8
1773,2754.39
1774,3.17
1775,403.73
1776,7.69
1777,13.47
1778,108.39
1779,199.79
1780,762.06
1781,6.38
1782,19.85
1783,786.88
1784,2822.27
1785,612.19
1786,917.96
1787,1330.74
1788,501.89
1789,631.14
1790,196.81
1791,524.26
1792,38.21
1793,81.22
1794,2.5
1795,19.06
1796,151.76
1797,38.5
1798,363.38
1799,2208.37
1800,56.11
1801,2703.06
1802,221.88
1803,6.61
1804,453.58
1805,80.1
1806,4708.09
1807,183.04
1808,1.98
1809,5416.22
1810,36.27
1811,3677.48
1812,5952.84
1813,3.57
1814,748.42
1815,3236.15
1816,18.1
1817,577.2
1818,6.21
1819,6.75
1820,13.15
1821,1.92
1822,206.29
1823,5.73
1824,1224.97
1825,11.15
1826,1.45
1827,7419.07
1828,2.32
1829,8.9
1830,2615.32
1831,22.41
1832,54.95
1833,20.57
1834,511.67
1835,189.71
1836,1439.73
1837,3.5
1838,315.72
1839,331.91
1840,6.72
1841,11.64
1842,7056.89
1843,4.0
1844,203.97
1845,17570.99
1846,696.5
1847,4749.86
1848,12.21
1849,21.05
1850,1716.51
1851,1.62
1852,4255.85
1853,249.25
1854,1.46
1855,7.8
1856,1.89
1857,13.57
1858,1.95
1859,1.69
1860,47.01
1861,28.13
1862,2.27
1863,59.16
1864,8.8
1865,329.16
1866,21.54
1867,22.08
1868,1254.39
1869,6.65
1870,1145.35
1871,883.08
1872,54.83
1873,2.56
1874,27.39
1875,58.22
1876,1407.25
1877,644.13
1878,22.21
1879,1729.45
1880,146.48
1881,56.93
1882,5.4
1883,114.93
1884,4823.32
1885,100.52
1886,5564.43
1887,5.15
1888,95.43
1889,352.79
1890,75.32
1891,7.09
1892,5.96
1893,498.65
1894,4.97
1895,10.71
1896,207.05
1897,14426.48
1898,87.42
1899,6.28
1900,51.02
1901,1001.51
1902,2.04
1903,3721.82
1904,10.31
1905,6.51
1906,206.57
1907,10.62
1908,6.79
1909,91.88
1910,1826.63
1911,1121.38
1912,188.08
1913,371.0
1914,223.17
1915,88.74
1916,8.73
1917,1.18
1918,20.53
1919,80.26
1920,1484.94
1921,4.58
1922,141.42
1923,199.28
1924,83.26
1925,28.51
1926,129812.22
1927,523.81
1928,1355.65
1929,3.52
1930,4431.66
1931,27.75
1932,12.12
1933,7.14
1934,2254.21
1935,1.44
1936,3.5
1937,1910.76
1938,1918.07
1939,193.15
1940,1911.78
1941,893.92
1942,301.85
1943,158.8
1944,75.46
1945,61.72
1946,1058.68
1947,1.97
1948,706.84
1949,5.37
1950,15474.68
1951,3.01
1952,184.18
1953,8.13
1954,228.93
1955,194.19
1956,212.37
1957,4.62
1958,2888.31
1959,7.41
1960,1.69
1961,1.63
1962,29.83
1963,14.89
1964,56.13
1965,34.48
1966,1.44
1967,20.2
1968,2.22
1969,1076.19
1970,11.57
1971,130.86
1972,3.36
1973,99.16
1974,1.48
1975,46.83
1976,5.97
1977,10075.93
1978,8.13
1979,266.93
1980,1584.24
1981,2072.7
1982,66.9
1983,58.01
1984,18.36
1985,3374.14
1986,22.27
1987,4.48
1988,86.43
1989,16.76
1990,4071.5
1991,2.08
1992,1.31
1993,3.17
1994,12.22
1995,3.56
1996,6.38
1997,16.83
1998,229.32
1999,8.07
2000,371.69
2001,4921.82
2002,288.67
2003,230.03
2004,3763.01
2005,411.65
2006,309.58
2007,2.61
2008,4.81
2009,636.44
2010,1.25
2011,3.49
2012,30.25
2013,1055.97
2014,313.01
2015,16.12
2016,661.24
2017,1325.6
2018,157.8
2019,1076.65
2020,20.74
2021,5.26
2022,16.29
2023,1483.58
2024,4.34
2025,2.13
2026,430.45
2027,95.12
2028,2389.56
2029,1.36
2030,3517.89
2031,310.96
2032,4.82
2033,2752.27
2034,6.13
2035,724.44
2036,15.9
2037,865.52
2038,1.69
2039,3862.46
2040,453.05
2041,2.47
2042,7.66
2043,120.49
2044,13.23
2045,4.83
2046,10.46
2047,354.83
2048,6.91
2049,7313.45
2050,160.65
2051,285.33
2052,3038.75
2053,241.59
2054,633.63
2055,1.89
2056,334.04
2057,2.13
2058,22.6
2059,1.47
2060,2571.56
2061,1.82
2062,2.17
2063,253.67
2064,5.86
2065,4.76
2066,2.7
2067,7.76
2068,1.25
2069,299.68
2070,1488.16
2071,266.07
2072,1629.16
2073,979.41
2074,2.16
2075,33.37
2076,3.27
2077,1.72
2078,170.97
2079,7.2
